applicant_id,safra,region,age,income,employment,cpf_valido,vl_negativacao,vl_vencido_scr,vl_protestos,true_pd,actual_default,legacy_score,score_2,score_3,score_4,score_5,approved,score_decile,take_up_rate,hired,sample
47,2024-09,Sudeste,42,3480,Assalariado,True,0,0,0,0.5578313945589591,0,389,407,243,335,411,0,4,0.71,0,DEV
48,2025-05,Centro-Oeste,31,1615,Autônomo,True,0,1054,0,0.0005423347925309378,0,978,972,983,965,989,1,9,0.4099999999999999,1,OOT
49,2025-01,Sudeste,35,1280,Assalariado,True,0,0,0,0.018378899144136464,0,600,465,437,481,676,0,6,0.59,0,OOT
50,2025-03,Norte,54,3658,Assalariado,True,0,0,0,0.41569875463856304,1,451,478,315,501,421,0,4,0.71,0,OOT
51,2025-02,Sudeste,57,4280,Assalariado,True,12614,0,0,0.14830088560278198,0,217,129,228,292,264,0,2,0.83,0,OOT
52,2024-04,Sudeste,20,3511,Autônomo,True,0,0,0,0.9170758269701405,1,367,580,586,613,310,0,3,0.77,0,DEV
53,2024-07,Sul,35,2155,Autônomo,True,0,0,0,0.0026795125185846585,0,956,899,866,899,819,1,8,0.47,0,DEV
54,2024-09,Sudeste,49,762,Assalariado,True,0,0,312,0.9936397379346513,1,471,175,301,281,356,0,3,0.77,0,DEV
55,2024-09,Nordeste,64,5937,Assalariado,True,323,0,0,0.10384164043113644,1,841,903,897,912,888,1,8,0.47,1,DEV
56,2024-01,Sudeste,62,755,Autônomo,True,0,0,0,0.2730505692466458,0,726,368,394,491,500,0,4,0.71,0,DEV
57,2024-10,Sul,26,3469,Assalariado,True,0,0,0,0.004547873068742642,0,856,626,613,503,493,1,4,0.71,1,DEV
58,2024-03,Sul,55,8657,Assalariado,True,673,61849,0,0.5243581488468659,0,177,337,299,178,278,0,2,0.83,0,DEV
59,2025-02,Sul,38,2669,Autônomo,True,755,0,0,0.979591835072304,1,78,105,97,96,75,0,0,0.95,0,OOT
60,2025-01,Sudeste,52,2906,Assalariado,True,0,0,0,0.01028601482396558,0,941,955,975,970,954,1,9,0.4099999999999999,0,OOT
61,2025-05,Sudeste,49,3064,Assalariado,True,0,477,0,0.17606656289028944,0,822,623,586,666,710,1,6,0.59,0,OOT
62,2025-02,Sudeste,20,2748,Assalariado,True,0,1064,0,0.9735056723352712,1,174,392,227,199,352,0,3,0.77,0,OOT
63,2024-07,Sudeste,45,10000,Assalariado,True,3317,0,0,0.07778799313194644,0,875,901,889,893,873,1,8,0.47,0,DEV
64,2025-06,Sudeste,52,1471,Autônomo,True,0,8391,312,0.9930050488677612,1,180,200,361,200,165,0,1,0.8899999999999999,0,OOT
65,2024-08,Centro-Oeste,37,1364,Assalariado,True,0,0,0,0.05943582992014324,0,721,627,598,609,776,0,7,0.53,0,DEV
66,2024-06,Sul,34,2005,Assalariado,True,8752,0,0,0.008018046823130183,0,870,927,917,940,871,0,8,0.47,0,DEV
67,2025-05,Sul,16,6936,Assalariado,True,163,0,0,0.918811921995761,1,29,38,43,36,24,0,0,0.95,0,OOT
68,2024-07,Sudeste,47,1726,Assalariado,True,0,0,6981,0.9998581093610622,1,5,3,5,6,10,0,0,0.95,0,DEV
69,2024-02,Sudeste,40,3159,Assalariado,True,0,5268,0,0.9780079675586475,1,96,127,202,112,142,0,1,0.8899999999999999,0,DEV
70,2024-09,Sul,25,4640,Assalariado,True,0,0,0,0.16118200626478743,0,825,755,701,811,831,1,8,0.47,1,DEV
71,2025-03,Sudeste,33,3894,Autônomo,True,873,231,0,0.12399777532427901,0,672,679,601,482,698,0,6,0.59,0,OOT
72,2024-04,Sudeste,40,4495,Assalariado,True,0,0,0,0.13825208245075138,1,566,379,492,636,651,0,6,0.59,0,DEV
73,2024-09,Sul,30,5714,Desempregado,True,0,0,0,0.7516660091162644,1,63,117,42,83,58,0,0,0.95,0,DEV
74,2024-03,Sul,38,2936,Desempregado,True,0,0,0,0.005000933573901922,0,928,979,934,942,958,1,9,0.4099999999999999,0,DEV
75,2025-01,Norte,16,1855,Assalariado,True,0,0,161,0.00243051318194858,0,948,975,968,983,988,0,9,0.4099999999999999,0,OOT
76,2024-09,Sudeste,56,2665,Autônomo,True,0,0,0,0.0006460184329630188,0,760,697,767,765,839,0,8,0.47,0,DEV
77,2024-06,Sul,38,1991,Autônomo,True,2611,0,0,0.146188952197043,0,219,148,192,141,152,0,1,0.8899999999999999,0,DEV
78,2024-05,Sudeste,22,11080,Assalariado,True,0,0,0,0.0613076137043329,0,678,670,895,892,732,0,7,0.53,0,DEV
79,2024-11,Sudeste,16,1772,Assalariado,True,2094,0,0,0.5584319620743365,1,516,558,540,626,674,0,6,0.59,0,DEV
80,2025-01,Nordeste,52,3261,Desempregado,True,0,0,0,0.2521471238456796,1,77,16,15,25,47,0,0,0.95,0,OOT
81,2025-05,Sudeste,45,991,Assalariado,True,0,0,0,0.006984009333112803,0,914,870,799,862,860,1,8,0.47,0,OOT
82,2024-08,Sul,40,2643,Assalariado,True,0,0,0,0.10056482631628684,0,546,858,493,433,621,0,6,0.59,0,DEV
83,2024-03,Sudeste,50,2054,Assalariado,True,0,0,0,0.022649193147624976,0,632,696,492,591,589,0,5,0.6499999999999999,0,DEV
84,2025-03,Sudeste,50,3660,Assalariado,True,0,0,1074,0.3332976428511543,0,161,133,192,143,140,0,1,0.8899999999999999,0,OOT
85,2024-12,Norte,40,3718,Assalariado,True,0,13921,0,0.6720408786876313,0,527,211,224,413,422,0,4,0.71,0,DEV
86,2025-01,Sudeste,34,5711,Empresário,True,0,0,0,0.012349656312826715,0,592,615,544,718,589,0,5,0.6499999999999999,0,OOT
87,2024-02,Nordeste,32,5445,Assalariado,True,0,0,0,0.8820523327033567,1,151,262,120,188,170,0,1,0.8899999999999999,0,DEV
88,2024-06,Sudeste,43,2345,Assalariado,True,230,0,0,0.05055346760921316,0,928,937,918,962,934,1,9,0.4099999999999999,0,DEV
89,2025-02,Norte,57,1384,Assalariado,True,0,0,0,0.1343215067291118,0,904,915,853,905,909,1,9,0.4099999999999999,0,OOT
90,2025-03,Sudeste,36,1485,Autônomo,True,0,0,0,0.9346369609393635,1,590,592,394,332,356,0,3,0.77,0,OOT
91,2024-08,Sudeste,58,2926,Assalariado,True,614,0,0,0.02814235261852163,0,330,639,569,600,486,0,4,0.71,0,DEV
92,2025-03,Nordeste,43,2682,Assalariado,True,1900,0,0,0.8850944295175371,1,146,174,138,221,110,0,1,0.8899999999999999,0,OOT
93,2025-04,Sudeste,43,2849,Autônomo,True,0,0,0,0.018722991437273365,0,626,703,731,673,800,0,7,0.53,0,OOT
94,2024-07,Sudeste,71,1770,Desempregado,True,0,0,0,0.9955778945116412,1,277,126,180,208,143,0,1,0.8899999999999999,0,DEV
95,2025-05,Norte,61,5781,Assalariado,True,0,0,0,0.03253230996951138,0,304,481,287,414,478,0,4,0.71,0,OOT
96,2024-06,Sul,61,1008,Autônomo,True,0,0,613,0.10062003987510026,0,626,571,487,405,442,0,4,0.71,0,DEV
97,2024-05,Nordeste,26,1712,Assalariado,True,116,0,0,0.9469148654548989,0,255,102,175,133,208,0,2,0.83,0,DEV
98,2025-01,Sul,68,1278,Assalariado,True,0,0,0,0.9900628437074318,1,155,126,30,62,60,0,0,0.95,0,OOT
99,2024-12,Nordeste,36,2152,Assalariado,True,0,0,0,0.4092306025974373,1,253,350,194,428,242,0,2,0.83,0,DEV
100,2024-03,Centro-Oeste,34,5156,Assalariado,True,2047,0,0,0.33515784802694654,0,456,351,395,487,472,0,4,0.71,0,DEV
101,2025-03,Sul,16,2053,Empresário,True,0,0,0,0.0034058114638694285,0,695,629,639,597,736,0,7,0.53,0,OOT
102,2024-04,Sudeste,42,2593,Assalariado,True,0,0,0,0.13781096936794532,0,524,572,582,564,542,0,5,0.6499999999999999,0,DEV
103,2025-03,Sudeste,22,3635,Autônomo,True,0,54,0,0.991417150781818,1,24,21,15,22,22,0,0,0.95,0,OOT
104,2024-01,Sul,43,1995,Assalariado,True,0,0,0,0.4402362019657856,0,748,759,586,576,630,0,6,0.59,0,DEV
105,2025-03,Nordeste,21,3070,Assalariado,True,0,12862,0,0.695366561864932,1,52,142,114,72,102,0,0,0.95,0,OOT
106,2025-03,Sul,63,2836,Empresário,True,0,129,0,0.05662029943928071,0,334,233,214,278,296,0,3,0.77,0,OOT
107,2025-03,Sudeste,45,1238,Autônomo,True,0,9080,0,0.8556145893220628,1,217,105,139,67,142,0,1,0.8899999999999999,0,OOT
108,2024-12,Sudeste,69,1847,Assalariado,True,594,0,0,0.022464916537947244,0,346,432,376,487,395,0,3,0.77,0,DEV
109,2024-09,Sul,23,3019,Assalariado,True,0,0,0,0.30862016597600217,0,630,455,406,451,450,0,4,0.71,0,DEV
110,2025-01,Centro-Oeste,59,5267,Assalariado,True,0,0,0,0.7338273816360398,1,108,154,231,390,145,0,1,0.8899999999999999,0,OOT
111,2024-05,Sudeste,16,5264,Desempregado,True,0,0,0,0.7282746424423091,1,360,325,440,454,384,0,3,0.77,0,DEV
112,2025-03,Sul,40,8580,Assalariado,True,862,0,0,0.28735703241248495,0,302,254,374,408,385,0,3,0.77,0,OOT
113,2024-11,Nordeste,29,3265,Assalariado,True,0,1513,0,0.013464748112616097,0,660,830,762,821,827,0,8,0.47,0,DEV
114,2024-09,Norte,31,1904,Autônomo,True,34945,0,198,0.9822765436307654,1,149,79,97,53,93,0,0,0.95,0,DEV
115,2024-10,Sudeste,30,2348,Empresário,True,0,85,0,0.013160196681960773,0,986,954,975,971,985,1,9,0.4099999999999999,0,DEV
116,2024-11,Centro-Oeste,25,2279,Assalariado,True,0,0,0,0.5224023155015163,0,199,157,112,94,168,0,1,0.8899999999999999,0,DEV
117,2024-01,Sul,20,1910,Autônomo,True,0,0,0,0.7447236003080677,1,134,161,73,127,59,0,0,0.95,0,DEV
118,2024-03,Nordeste,31,3071,Assalariado,True,0,0,0,0.0016483682359547383,0,892,779,886,909,844,1,8,0.47,0,DEV
119,2024-05,Sudeste,39,3157,Autônomo,True,2744,0,0,0.07239351069462888,0,215,335,435,335,443,0,4,0.71,0,DEV
120,2024-03,Sul,54,1206,Assalariado,True,0,0,0,0.057166537779761814,0,548,546,811,601,552,0,5,0.6499999999999999,0,DEV
121,2024-08,Sul,42,4688,Empresário,True,0,0,0,0.010203091678539547,0,923,906,926,932,922,1,9,0.4099999999999999,1,DEV
122,2025-01,Sudeste,54,810,Autônomo,True,0,0,0,0.025159198921369846,1,753,823,827,846,767,0,7,0.53,0,OOT
123,2024-12,Sudeste,17,2135,Desempregado,True,0,0,0,0.8803781959968838,0,483,313,445,363,400,0,4,0.71,0,DEV
124,2024-09,Sul,31,4863,Assalariado,True,0,0,0,0.3416702754326583,0,135,286,337,300,271,0,2,0.83,0,DEV
125,2025-04,Sul,47,3513,Empresário,True,0,0,0,0.4052834891154804,1,616,262,173,244,268,0,2,0.83,0,OOT
126,2024-11,Sudeste,42,1970,Assalariado,True,0,0,0,0.5016397907556829,1,521,683,477,701,574,0,5,0.6499999999999999,0,DEV
127,2024-02,Sudeste,25,7952,Assalariado,True,211,0,0,0.979439138212975,1,52,22,26,24,41,0,0,0.95,0,DEV
128,2025-02,Sudeste,51,1874,Assalariado,True,0,0,0,0.06505080061173003,0,696,740,604,589,678,0,6,0.59,0,OOT
129,2024-11,Centro-Oeste,30,734,Autônomo,True,0,0,317,0.8531481201800096,1,132,237,139,254,195,0,2,0.83,0,DEV
130,2024-12,Norte,27,3202,Assalariado,True,0,5497,0,0.0022535776962387356,0,758,808,658,707,673,0,6,0.59,0,DEV
131,2024-11,Sudeste,44,839,Autônomo,True,3240,0,0,0.03020982951111396,0,690,520,721,664,630,0,6,0.59,0,DEV
132,2024-10,Sudeste,38,1481,Autônomo,True,0,0,0,0.4835734437793206,0,643,350,165,465,331,0,3,0.77,0,DEV
133,2024-02,Sudeste,30,3546,Autônomo,True,0,0,0,0.07314715215736896,0,659,768,791,728,672,0,6,0.59,0,DEV
134,2024-11,Sul,30,1851,Assalariado,True,0,0,0,0.10296908704053413,0,656,564,756,520,481,0,4,0.71,0,DEV
135,2025-03,Centro-Oeste,23,3457,Autônomo,True,0,0,0,0.15914554451058585,0,254,426,400,259,301,0,3,0.77,0,OOT
136,2024-06,Sul,32,1218,Assalariado,True,0,872,332,0.0024754843360987183,0,967,961,936,958,971,1,9,0.4099999999999999,0,DEV
137,2024-11,Sudeste,53,4085,Autônomo,True,1631,0,0,0.014375108703790869,0,895,934,941,931,939,1,9,0.4099999999999999,1,DEV
138,2024-01,Sudeste,41,884,Assalariado,True,0,0,0,0.08876644375971568,0,718,683,718,622,639,0,6,0.59,0,DEV
139,2024-07,Sudeste,51,5383,Autônomo,True,0,883,0,0.9118798229956899,1,308,464,264,206,311,0,3,0.77,0,DEV
140,2024-08,Centro-Oeste,45,1834,Autônomo,True,0,0,0,0.24136097606159226,0,518,408,617,568,446,0,4,0.71,0,DEV
141,2025-06,Sul,29,6116,Assalariado,True,0,0,0,0.04722594807069812,0,354,391,458,587,516,0,5,0.6499999999999999,0,OOT
142,2024-04,Sul,16,1473,Assalariado,True,0,0,0,0.18399857489607052,0,713,725,774,550,741,0,7,0.53,0,DEV
143,2024-05,Sudeste,25,7745,Assalariado,True,0,0,0,0.00808051655006646,0,703,868,681,769,808,0,8,0.47,0,DEV
144,2024-08,Centro-Oeste,28,1373,Autônomo,True,8454,0,0,0.9950941489177432,1,226,87,125,55,65,0,0,0.95,0,DEV
145,2025-06,Sudeste,27,831,Empresário,True,0,0,0,0.06450403140529394,0,629,538,711,653,592,0,5,0.6499999999999999,0,OOT
146,2025-04,Centro-Oeste,51,2504,Assalariado,True,301,0,0,0.981080409752386,1,112,268,494,365,235,0,2,0.83,0,OOT
147,2024-01,Centro-Oeste,51,5117,Empresário,True,0,878,0,0.08269099270919102,0,759,675,517,558,488,0,4,0.71,0,DEV
148,2024-05,Sul,68,3922,Assalariado,True,0,0,0,0.04866227972460141,0,607,726,427,772,699,0,6,0.59,0,DEV
149,2025-03,Centro-Oeste,27,4903,Empresário,True,1560,0,0,0.20694234768905634,0,843,829,776,592,697,1,6,0.59,0,OOT
150,2024-02,Sudeste,60,3969,Empresário,True,0,0,0,0.1321719321704808,0,862,929,854,926,945,1,9,0.4099999999999999,0,DEV
151,2025-04,Nordeste,60,1491,Assalariado,True,4337,0,0,0.0468355662937594,0,442,727,713,674,643,0,6,0.59,0,OOT
152,2024-06,Sudeste,34,3865,Desempregado,True,0,0,0,0.20743282473819907,0,872,910,840,841,879,1,8,0.47,0,DEV
153,2025-05,Sul,44,2580,Assalariado,True,0,0,0,0.012096394353718355,0,921,924,937,938,935,1,9,0.4099999999999999,0,OOT
154,2024-06,Sudeste,55,1594,Assalariado,True,0,2250,0,0.2084480930735206,0,447,438,591,598,653,0,6,0.59,0,DEV
155,2024-08,Sudeste,37,2717,Autônomo,True,0,0,0,0.02358056978692233,0,863,862,892,775,785,1,7,0.53,1,DEV
156,2024-12,Sudeste,36,2359,Assalariado,True,0,0,0,0.0004886418471269734,0,986,988,988,983,989,1,9,0.4099999999999999,0,DEV
157,2024-03,Sudeste,29,5707,Assalariado,True,0,0,0,0.02209885228725282,0,575,628,767,659,715,0,7,0.53,0,DEV
158,2024-11,Sul,16,1791,Assalariado,True,893,0,0,0.9424491528637797,1,16,27,45,27,30,0,0,0.95,0,DEV
159,2024-10,Sul,38,1742,Autônomo,True,1951,0,0,0.1855606882899817,0,223,227,258,200,201,0,2,0.83,0,DEV
160,2025-03,Sudeste,28,1604,Autônomo,True,431,190,0,0.1946335263727683,0,468,189,224,423,375,0,3,0.77,0,OOT
161,2025-06,Norte,22,7616,Autônomo,True,0,0,781,0.023599904664023546,0,814,899,905,825,843,1,8,0.47,0,OOT
162,2024-12,Norte,43,1659,Empresário,True,1376,0,292,0.4892909092171479,1,461,209,386,281,444,0,4,0.71,0,DEV
163,2024-08,Sudeste,17,5314,Empresário,True,0,13374,0,0.8953052556801918,1,600,468,672,793,665,0,6,0.59,0,DEV
164,2024-08,Sudeste,49,1314,Autônomo,True,0,0,0,0.8423089151680669,1,483,508,422,440,521,0,5,0.6499999999999999,0,DEV
165,2024-08,Sul,44,3307,Empresário,True,0,0,0,5.945247491906186e-06,0,993,994,991,987,990,1,9,0.4099999999999999,1,DEV
166,2025-03,Nordeste,32,2856,Assalariado,True,0,50,0,0.9473224753500051,1,181,241,191,126,168,0,1,0.8899999999999999,0,OOT
167,2024-06,Sudeste,37,5115,Autônomo,True,0,118,0,0.5474190327454826,1,355,431,353,254,300,0,3,0.77,0,DEV
168,2024-04,Nordeste,21,4689,Assalariado,True,2642,0,0,0.7385975962279057,1,122,262,184,178,267,0,2,0.83,0,DEV
169,2024-07,Sudeste,48,2563,Assalariado,True,0,29,0,0.019860904245803238,0,664,740,831,756,658,0,6,0.59,0,DEV
170,2024-01,Sudeste,40,1768,Assalariado,True,254,567,0,0.9394710274326807,1,30,38,62,76,74,0,0,0.95,0,DEV
171,2024-02,Nordeste,41,6470,Assalariado,True,1239,9650,0,0.8964088259232291,1,74,71,31,32,67,0,0,0.95,0,DEV
172,2024-02,Sul,45,1665,Desempregado,True,0,0,0,0.0036679212979482405,0,772,911,788,834,882,0,8,0.47,0,DEV
173,2025-02,Centro-Oeste,29,626,Assalariado,True,0,0,0,0.708927919477854,1,441,225,394,404,331,0,3,0.77,0,OOT
174,2025-02,Sudeste,16,800,Empresário,True,0,2582,0,0.7464469281006936,0,188,302,337,176,212,0,2,0.83,0,OOT
175,2025-01,Sudeste,51,926,Assalariado,True,0,0,1944,0.9969264929866145,1,28,43,51,47,32,0,0,0.95,0,OOT
176,2024-09,Sudeste,47,3489,Autônomo,True,0,0,0,0.19954961450825498,0,863,918,732,805,814,1,8,0.47,1,DEV
177,2025-01,Sudeste,30,9215,Assalariado,True,0,0,0,0.9322975707616636,1,328,399,331,269,312,0,3,0.77,0,OOT
178,2024-03,Sudeste,43,717,Desempregado,True,893,0,0,0.991810365765739,1,72,90,57,61,80,0,0,0.95,0,DEV
179,2025-05,Sul,55,1526,Assalariado,True,0,0,0,0.036199384858541475,0,574,683,529,631,530,0,5,0.6499999999999999,0,OOT
180,2024-10,Sul,53,2574,Autônomo,True,0,0,0,0.8327042692874946,0,178,113,97,100,99,0,0,0.95,0,DEV
181,2025-05,Nordeste,30,6169,Desempregado,True,8888,0,0,0.3103719770638561,0,528,790,694,764,668,0,6,0.59,0,OOT
182,2024-03,Sudeste,17,1521,Autônomo,True,0,9014,0,0.04247300763055163,0,401,299,599,442,494,0,4,0.71,0,DEV
183,2024-09,Sudeste,19,3478,Autônomo,True,192,0,0,0.14975626679172693,1,874,789,908,806,860,1,8,0.47,1,DEV
184,2025-01,Nordeste,33,2100,Assalariado,True,0,0,0,0.9245835883378396,1,206,317,339,273,366,0,3,0.77,0,OOT
185,2024-09,Sudeste,58,11664,Assalariado,True,0,0,0,0.2111360406440977,0,640,691,432,399,537,0,5,0.6499999999999999,0,DEV
186,2024-09,Centro-Oeste,27,2661,Assalariado,True,563,0,324,0.7244724747890701,1,180,112,95,194,175,0,1,0.8899999999999999,0,DEV
187,2024-03,Sudeste,29,3021,Assalariado,True,0,0,0,0.5020779603745783,0,507,583,558,607,474,0,4,0.71,0,DEV
188,2024-07,Sul,29,2567,Assalariado,True,0,0,0,0.0032897475722237193,0,876,842,887,778,890,1,8,0.47,0,DEV
189,2024-05,Centro-Oeste,30,1903,Autônomo,True,0,0,0,0.049371657165297574,0,588,433,713,643,524,0,5,0.6499999999999999,0,DEV
190,2024-06,Sul,37,4315,Desempregado,True,789,3864,0,0.9572517101548209,1,51,90,84,139,164,0,1,0.8899999999999999,0,DEV
191,2025-01,Sul,20,1217,Autônomo,True,0,0,0,0.4034814386267888,0,472,563,483,516,555,0,5,0.6499999999999999,0,OOT
192,2024-12,Nordeste,53,734,Autônomo,True,0,0,0,0.17838147406743254,0,408,322,416,431,455,0,4,0.71,0,DEV
193,2024-11,Sudeste,35,2230,Assalariado,True,0,0,0,0.0005378428127387155,0,952,939,934,938,955,1,9,0.4099999999999999,0,DEV
194,2024-07,Nordeste,72,3981,Assalariado,True,0,0,0,0.012336827002531378,0,848,919,866,892,930,1,9,0.4099999999999999,1,DEV
195,2025-06,Centro-Oeste,21,1722,Autônomo,True,0,0,0,0.19670059106161694,1,287,400,264,250,418,0,4,0.71,0,OOT
196,2024-02,Norte,60,2729,Assalariado,True,0,0,0,0.003426258553614205,0,535,778,776,743,721,0,7,0.53,0,DEV
197,2024-07,Sudeste,57,1173,Assalariado,True,0,0,0,0.004049524863751166,0,970,932,985,963,966,1,9,0.4099999999999999,0,DEV
198,2024-03,Sudeste,32,4617,Empresário,True,0,0,0,0.18668400228988496,1,456,281,422,453,545,0,5,0.6499999999999999,0,DEV
199,2024-07,Nordeste,32,3608,Assalariado,True,0,0,0,0.0010342231335775283,0,926,908,969,964,941,1,9,0.4099999999999999,0,DEV
200,2025-06,Sul,25,2469,Assalariado,True,0,0,0,0.0014454802073224843,0,887,871,900,834,854,1,8,0.47,0,OOT
201,2024-07,Sudeste,25,2700,Assalariado,True,0,0,0,0.00960740021129573,0,503,683,728,775,755,0,7,0.53,0,DEV
